sensorReadingTime,serialNumber,distanceFromObject
1655564444103,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,218
1655564440170,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,230
1655564416572,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,268
1655564404773,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,244
1655564400840,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,219
1655564373309,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,277
1655564369376,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,207
1655564341845,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,291
1655564337912,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,204
1655564476302,20400202-c1da-4328-8e94-5bacc7d61ecb,264
1655564438902,20400202-c1da-4328-8e94-5bacc7d61ecb,281
1655564432102,20400202-c1da-4328-8e94-5bacc7d61ecb,273
1655564428702,20400202-c1da-4328-8e94-5bacc7d61ecb,257
1655564411702,20400202-c1da-4328-8e94-5bacc7d61ecb,256
1655564404902,20400202-c1da-4328-8e94-5bacc7d61ecb,221
1655564391302,20400202-c1da-4328-8e94-5bacc7d61ecb,251
1655564201172,454a7430-d4ff-47cf-8666-7428f8a9894d,270
1655564168842,454a7430-d4ff-47cf-8666-7428f8a9894d,284
1655564162376,454a7430-d4ff-47cf-8666-7428f8a9894d,278
1655564152677,454a7430-d4ff-47cf-8666-7428f8a9894d,246
1655564149444,454a7430-d4ff-47cf-8666-7428f8a9894d,236
1655564139745,454a7430-d4ff-47cf-8666-7428f8a9894d,298
1655564136512,454a7430-d4ff-47cf-8666-7428f8a9894d,217
1655564133279,454a7430-d4ff-47cf-8666-7428f8a9894d,209
1655564123580,454a7430-d4ff-47cf-8666-7428f8a9894d,296
1655564120347,454a7430-d4ff-47cf-8666-7428f8a9894d,248
1655564117114,454a7430-d4ff-47cf-8666-7428f8a9894d,265
1655564507952,fe784255-4faf-47ab-96f7-ea79c6e87f0c,208
1655564488787,fe784255-4faf-47ab-96f7-ea79c6e87f0c,294
1655564477288,fe784255-4faf-47ab-96f7-ea79c6e87f0c,267
1655564469622,fe784255-4faf-47ab-96f7-ea79c6e87f0c,236
1655564465789,fe784255-4faf-47ab-96f7-ea79c6e87f0c,227
1655564458123,fe784255-4faf-47ab-96f7-ea79c6e87f0c,256
